Model,Split,PR_AUC,ROC_AUC,Recall,Precision,F1,Accuracy,Threshold
LogisticRegression,Test,0.24439181663982337,0.6780507140775284,0.425531914893617,0.24154589371980675,0.3081664098613251,0.7820388349514563,0.6274614736658322
RandomForest,Test,0.23269588570826813,0.6736321772078111,0.3276595744680851,0.22318840579710145,0.2655172413793103,0.7932038834951456,0.5338381474683881
RandomForest,Validation,0.2436852041033285,0.715315651413582,0.4595744680851064,0.25116279069767444,0.324812030075188,0.7820388349514563,0.5
LogisticRegression,Validation,0.23419350092859226,0.7041375692218013,0.6425531914893617,0.19790301441677588,0.3026052104208417,0.6621359223300971,0.5
